Data Publicação,Interesse,Título,Link
17/04/2026,Geral,"Receita Federal retém 134,5 kg de droga em veículo na Ponte Internacional da Amizade",https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/abril/receita-federal-retem-134-5-kg-de-droga-em-veiculo-na-ponte-internacional-da-amizade
17/04/2026,Empresarial,"Receita Federal abre consulta pública sobre alteração da IN RFB nº 2.228/2024, que regulamenta o ""Adicional da CSLL""",https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/abril/receita-federal-abre-consulta-publica-sobre-alteracao-da-in-rfb-no-2-228-2024-que-regulamenta-o-adicional-da-csll
17/04/2026,Pessoa Física,"Receita Federal realiza sexta live do IRPF com o tema ""Isenção por Moléstia Grave""",https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/abril/receita-federal-realiza-sexta-live-do-irpf-com-o-tema-isencao-por-molestia-grave
17/04/2026,Empresarial,Nova regra agiliza prorrogação de prazos de parcelamentos do Simples Nacional em situações de calamidade pública,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/abril/nova-regra-agiliza-prorrogacao-de-prazos-de-parcelamentos-do-simples-nacional-em-situacoes-de-calamidade-publica
17/04/2026,Empresarial,CGSN define prazos de opção pelo Simples Nacional e pelo regime regular do IBS e da CBS para 2027,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/abril/cgsn-define-prazos-de-opcao-pelo-simples-nacional-e-pelo-regime-regular-do-ibs-e-da-cbs-para-2027
16/04/2026,Geral,Receita Federal registra o maior conjunto de apreensões de haxixe da história vinda dos EUA,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/abril/receita-federal-registra-o-maior-conjunto-de-apreensoes-de-haxixe-da-historia-vinda-dos-eua
15/04/2026,Geral,Receita Federal alcança marca de 11 milhões de declarações do Imposto de Renda entregues,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/abril/receita-federal-alcanca-marca-de-11-milhoes-de-declaracoes-do-imposto-de-renda-entregues
15/04/2026,Empresarial,Operação Caixa Rápido: Receita Federal orienta contribuintes sobre uso indevido de créditos de PIS/Pasep e Cofins,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/abril/operacao-caixa-rapido-receita-federal-orienta-contribuintes-sobre-uso-indevido-de-creditos-de-pis-pasep-e-cofins
14/04/2026,Geral,Receita Federal assina Declaração Conjunta de Intenções para cooperação com a Administração Aduaneira da Alemanha,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/abril/receita-federal-assina-declaracao-conjunta-de-intencoes-para-cooperacao-com-a-administracao-aduaneira-da-alemanha
14/04/2026,Geral,Receita Federal em Viracopos apreende cerca de 1 tonelada de produtos para emagrecimento proibidos no Brasil,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/abril/foram-interceptadas-mais-de-700-remessas-expressas-que-ingressavam-no-pais-com-falsa-declaracao-de-conteudo
13/04/2026,Geral,Receita Federal realiza Operação Visibilidade em Mundo Novo/MS e apreende mercadorias irregulares,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/abril/receita-federal-realiza-operacao-visibilidade-em-mundo-novo-ms-e-apreende-mercadorias-irregulares
13/04/2026,Pessoa Física,"Receita Federal realiza quinta live do IRPF com o tema ""Revar, funcionamento prático""",https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/abril/quinta-live-irpf-aborda-o-tema-revar-funcionamento-pratico
13/04/2026,Empresarial,Receita Federal participa do Programa Na Ponta do Lápis e fortalece diálogo com redes de ensino,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/abril/receita-federal-participa-do-programa-na-ponta-do-lapis-e-fortalece-dialogo-com-redes-de-ensino
13/04/2026,Geral,Receita Federal destaca marco de 50 milhões de Carteiras de Identidade Nacional emitidas no país,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/abril/receita-federal-destaca-marco-de-50-milhoes-de-carteiras-de-identidade-nacional-emitidas-no-pais
13/04/2026,Geral,Receita Federal apresenta resultados da fiscalização em 2025 e planejamento para 2026,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/abril/receita-federal-apresenta-resultados-da-fiscalizacao-em-2025-e-planejamento-para-2026
10/04/2026,Pessoa Física,Receita Federal alerta para novo golpe digital envolvendo falsas pendências do IRPF,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/abril/receita-federal-alerta-para-novo-golpe-digital-envolvendo-falsas-pendencias-do-irpf
